case_id,status,dp,dam_height,boulder_mass,boulder_rot_z,friction_coefficient,slope_inv,classification_mode,reference_time_s,criterion_class,moved,rotated,max_displacement_m,disp_pct_deq,max_rotation_deg,max_velocity_ms,max_sph_force_N,max_contact_force_N,max_flow_velocity_ms,max_water_height_m,tiempo_min,n_particles,mem_gpu_mb,output_path,quality_flags,notas,batch,source_file,case_name,disp_margin_pct,sim_time_reached_s,n_timesteps,hardware,failed,max_displacement_pct_deq,sim_time_reached,flow_gauge_id,flow_gauge_distance,water_gauge_id,water_gauge_distance,disp_mm,margin_mm,margin_pct_deq,max_rotation,max_velocity,max_sph_force,max_contact_force,max_flow_velocity,max_water_height,disp_pct_deq_unified,margin_train_pct_deq,class_from_margin,is_partial_or_diagnostic,is_official,selection_reason,used_for_gp
al3_midH_m085_mu0900,,0.003,0.21,0.85,0.0,0.9,20.0,displacement_only,0.500012,ESTABLE,0,1,0.0033865937164059,3.3723959295426105,,,,,,,,,,,,,al3,exports/al_batch3_gp_after_al2_20260518/al_batch3_summary.csv,al3_midH_m085_mu0900,,,,,,,,,,,,3.3865937164059847,1.634456283594015,1.6276040704573895,5.22265271630607,0.0999903904232801,8.881764412384513,6686.943830549801,0.8643727704255355,0.0697537,3.3723959295426105,1.6276040704573895,ESTABLE,False,True,included,True
batch3_midH_mu0700,OK,0.003,0.21,1.0,0.0,0.7,20.0,displacement_only,0.500012,FALLO,True,True,0.0240538323349938,23.9530916688294,8.270054106671035,0.1000665735248289,8.833249505838495,7833.597909995608,0.8700265850997773,0.0698018,267.00084635,18023854.0,3426.357315063477,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_midH_mu0700,rotation_diagnostic_only,,batch3,exports/batch3_productivo_20260509/batch3_summary.csv,batch3_midH_mu0700,18.9530916688294,9.999009,9500.0,"Gpu_0=""NVIDIA GeForce RTX 5090""",,,,,,,,,,-18.9530916688294,,,,,,,23.9530916688294,-18.9530916688294,FALLO,False,True,included,True
batch3_midH_mu0740,OK,0.003,0.21,1.0,0.0,0.74,20.0,displacement_only,0.500012,FALLO,True,True,0.0085925140674892,8.556527469631071,6.269481206197968,0.1002071973912053,9.00030504025108,7806.279975346846,0.8680923218446066,0.0695065,268.8819010333333,18023854.0,3426.26676940918,C:\Users\Admin\Desktop\SPH-Tesis\data\processed\batch3_midH_mu0740,rotation_diagnostic_only,,batch3,exports/batch3_productivo_20260509/batch3_summary.csv,batch3_midH_mu0740,3.556527469631071,9.999006,9500.0,"Gpu_0=""NVIDIA GeForce RTX 5090""",,,,,,,,,,-3.556527469631071,,,,,,,8.556527469631071,-3.556527469631071,FALLO,False,True,included,True
al3_midH_m100_mu0755,,0.003,0.21,1.0,0.0,0.755,20.0,displacement_only,0.500012,ESTABLE,0,1,0.0035902311903276,3.575179683858651,,,,,,,,,,,,,al3,exports/al_batch3_gp_after_al2_20260518/al_batch3_summary.csv,al3_midH_m100_mu0755,,,,,,,,,,,,3.590231190327696,1.4308188096723042,1.424820316141349,5.245978162534029,0.1002736437255573,9.294158664100587,7796.480146797015,0.8659671262558931,0.0690306,3.575179683858651,1.424820316141349,ESTABLE,False,True,included,True
al2_midH_m100_mu0770,,0.003,0.21,1.0,0.0,0.77,20.0,displacement_only,0.500012,ESTABLE,0,1,0.0043303492930706,4.312194952321359,,,,,,,,,,,,,al2,exports/al_batch2_bracket_closing_20260516/al_batch2_summary.csv,al2_midH_m100_mu0770,,,,,,,,,,,,4.330349293070632,0.690700706929368,0.6878050476786406,5.556227995862704,0.1003204685395757,8.95477380133323,7790.957162151067,0.8673254506392049,0.0691321,4.312194952321359,0.6878050476786406,ESTABLE,False,True,included,True
al1_midH_m100_mu0800,OK_SQLITE,0.003,0.21,1.0,0.0,0.8,20.0,displacement_only,0.500012,ESTABLE,0,0,0.0019925094730011,1.984164576900823,4.959523045049443,0.1003214673786224,10.989341115813083,7793.14906231191,0.8678299131913398,0.0695924,,,,,complete_postprocess_sqlite,,al1,exports/al_batch1_hybrid_20260514/al_batch1_summary.csv,al1_midH_m100_mu0800,,,9500.0,,0,1.984164576900823,9.999015,V05,0.0682724043007129,hmax03,1.2294201683675927,,,3.015835423099177,,,,,,,1.984164576900823,3.015835423099177,ESTABLE,False,True,included,True
al1_midH_m115_mu0730,OK_SQLITE,0.003,0.21,1.15,0.0,0.73,20.0,displacement_only,0.500012,ESTABLE,0,0,0.0012376986709211,1.232515023389083,4.78969572079245,0.1001692550186932,9.178555926392995,8989.422385650649,0.8673643140615367,0.0696283,,,,,complete_postprocess_sqlite,,al1,exports/al_batch1_hybrid_20260514/al_batch1_summary.csv,al1_midH_m115_mu0730,,,9500.0,,0,1.232515023389083,9.999024,V05,0.0682724043007129,hmax03,1.2294201683675927,,,3.767484976610917,,,,,,,1.232515023389083,3.767484976610917,ESTABLE,False,True,included,True
batch4_mass_m115_H0210_mu0760,OK_SQLITE,0.003,0.21,1.15,0.0,0.76,20.0,displacement_only,0.500012,ESTABLE,0,0,0.0012378279363465,1.2326437474336316,4.39126042358876,0.1002902201313767,9.309878639016944,8964.265899448154,0.862941903632591,0.0696376,,,,,complete_postprocess_sqlite,,batch4,exports/batch4_mass_probe_20260513/batch4_summary.csv,batch4_mass_m115_H0210_mu0760,,,9500.0,,0,1.2326437474336316,9.999012,V05,0.0682724043007129,hmax03,1.2294201683675927,,,3.767356252566368,,,,,,,1.2326437474336316,3.767356252566368,ESTABLE,False,True,included,True
batch4_mass_m085_H0225_mu0800,OK_SQLITE,0.003,0.225,0.85,0.0,0.8,20.0,displacement_only,0.500001,FALLO,1,1,0.1069992912172789,106.55116387830704,16.373819552152725,0.1640414474485031,8.781030988241016,59578.1214594233,0.8545855750890311,0.073905,,,,,complete_postprocess_sqlite,,batch4,exports/batch4_mass_probe_20260513/batch4_summary.csv,batch4_mass_m085_H0225_mu0800,,,9500.0,,1,106.55116387830704,9.999017,V05,0.0682721222315522,hmax03,1.229420174095903,,,-101.55116387830704,,,,,,,106.55116387830704,-20.0,FALLO,False,True,included,True
al2_highH_m085_mu0880,,0.003,0.225,0.85,0.0,0.88,20.0,displacement_only,0.500001,FALLO,1,1,0.0537735301147323,53.548092644698144,,,,,,,,,,,,,al2,exports/al_batch2_bracket_closing_20260516/al_batch2_summary.csv,al2_highH_m085_mu0880,,,,,,,,,,,,53.77353011473232,-48.75248011473232,-48.548092644698144,12.4894752574627,0.1000295997842638,9.719318139663091,59919.35878067976,0.8245428763830296,0.0728153,53.548092644698144,-20.0,FALLO,False,True,included,True
