family,family_label,source_csv,case_id,status,is_official,is_partial,dp,dam_height,boulder_mass,boulder_rot_z,friction_coefficient,slope_inv,classification_mode,reference_time_s,criterion_class,max_displacement_m,disp_mm,disp_pct_deq,margin_mm,margin_pct_deq,max_rotation_deg,max_velocity_ms,max_sph_force_N,max_contact_force_N,max_flow_velocity_ms,max_water_height_m,tiempo_min,n_particles,mem_gpu_mb,family_order,margin_pct
al1,AL1,exports\al_batch1_hybrid_20260514\al_batch1_summary.csv,al1_base_m125_mu0600,OK_SQLITE,True,False,0.003,0.2,1.25,0.0,0.6,20.0,displacement_only,0.500009,ESTABLE,0.001236479276009,1.236479276009,1.2313007354659906,3.784570723991,3.7686992645340096,4.797483004536799,0.0999956834768381,8.378160534931041,13556.179082928697,0.8239931264295169,0.0676887,,,,4,3.7686992645340096
al1,AL1,exports\al_batch1_hybrid_20260514\al_batch1_summary.csv,al1_midH_m100_mu0800,OK_SQLITE,True,False,0.003,0.21,1.0,0.0,0.8,20.0,displacement_only,0.500012,ESTABLE,0.0019925094730011,1.9925094730011002,1.984164576900823,3.0285405269988996,3.015835423099177,4.959523045049443,0.1003214673786224,10.989341115813083,7793.14906231191,0.8678299131913398,0.0695924,,,,4,3.015835423099177
al1,AL1,exports\al_batch1_hybrid_20260514\al_batch1_summary.csv,al1_midH_m115_mu0730,OK_SQLITE,True,False,0.003,0.21,1.15,0.0,0.73,20.0,displacement_only,0.500012,ESTABLE,0.0012376986709211,1.2376986709211,1.232515023389083,3.7833513290789,3.767484976610917,4.78969572079245,0.1001692550186932,9.178555926392995,8989.422385650649,0.8673643140615367,0.0696283,,,,4,3.767484976610917
al1,AL1,exports\al_batch1_hybrid_20260514\al_batch1_summary.csv,al1_highH_m115_mu0800,OK_SQLITE,True,False,0.003,0.225,1.15,0.0,0.8,20.0,displacement_only,0.500001,ESTABLE,0.0012988510307192,1.2988510307191998,1.293411268927378,3.7221989692808,3.706588731072622,4.759268189668308,0.1002960776251992,10.274824985181011,80605.65150233885,0.8347814804916615,0.0711487,,,,4,3.706588731072622
al1,AL1,exports\al_batch1_hybrid_20260514\al_batch1_summary.csv,al1_highH_m125_mu0740,OK_SQLITE,True,False,0.003,0.225,1.25,0.0,0.74,20.0,displacement_only,0.500001,ESTABLE,0.0012712537118921,1.2712537118921,1.2659295313617436,3.7497962881079,3.734070468638256,4.843970472307585,0.1001777336337771,10.162003264318754,87760.39221513769,0.9262040776902464,0.0711211,,,,4,3.734070468638256
al2,AL2,exports\al_batch2_bracket_closing_20260516\al_batch2_summary.csv,al2_lowH_m085_mu0585,OK_EXPORT,True,False,0.003,0.175,0.85,0.0,0.585,20.0,displacement_only,0.500003,ESTABLE,0.0014786040714133,1.478604071413395,1.4724052453305536,3.542445928586605,3.5275947546694466,4.85758608004276,0.0999976809431098,8.760070357292857,24317.59570495383,0.7290810842148698,0.0658005,,,,5,3.5275947546694466
al2,AL2,exports\al_batch2_bracket_closing_20260516\al_batch2_summary.csv,al2_base_m085_mu0820,OK_EXPORT,True,False,0.003,0.2,0.85,0.0,0.82,20.0,displacement_only,0.500009,ESTABLE,0.0022893092844784,2.2893092844784824,2.2797116982289385,2.731740715521517,2.720288301771061,4.872577971080158,0.1002424058420387,8.450824907893963,9082.027699190196,0.7474536599321994,0.0678947,,,,5,2.720288301771061
al2,AL2,exports\al_batch2_bracket_closing_20260516\al_batch2_summary.csv,al2_base_m085_mu0860,OK_EXPORT,True,False,0.003,0.2,0.85,0.0,0.86,20.0,displacement_only,0.500009,ESTABLE,0.0014495378573879,1.4495378573879638,1.4434608870534689,3.571512142612036,3.556539112946531,4.778049562346237,0.1001094167798414,9.5848704650738,9108.008388779845,0.7605465215787395,0.0685117,,,,5,3.556539112946531
al2,AL2,exports\al_batch2_bracket_closing_20260516\al_batch2_summary.csv,al2_midH_m085_mu0880,OK_EXPORT,True,False,0.003,0.21,0.85,0.0,0.88,20.0,displacement_only,0.500012,FALLO,0.0052139602031469,5.213960203146952,5.192101456017119,-0.192910203146952,-0.1921014560171192,5.608558802825447,0.1000507905515993,9.005815962521163,6662.254529150939,0.8679049383565669,0.0698217,,,,5,-0.1921014560171192
al2,AL2,exports\al_batch2_bracket_closing_20260516\al_batch2_summary.csv,al2_midH_m100_mu0770,OK_EXPORT,True,False,0.003,0.21,1.0,0.0,0.77,20.0,displacement_only,0.500012,ESTABLE,0.0043303492930706,4.330349293070632,4.312194952321359,0.690700706929368,0.6878050476786406,5.556227995862704,0.1003204685395757,8.95477380133323,7790.957162151067,0.8673254506392049,0.0691321,,,,5,0.6878050476786406
al2,AL2,exports\al_batch2_bracket_closing_20260516\al_batch2_summary.csv,al2_highH_m085_mu0880,OK_EXPORT,True,False,0.003,0.225,0.85,0.0,0.88,20.0,displacement_only,0.500001,FALLO,0.0537735301147323,53.77353011473232,53.548092644698144,-48.75248011473232,-48.548092644698144,12.4894752574627,0.1000295997842638,9.719318139663091,59919.35878067976,0.8245428763830296,0.0728153,,,,5,-48.548092644698144
